trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
41,18:08:00,18:08:00,39,3,0,0,16.4197
41,18:19:00,18:19:00,55,4,0,0,27.2917
41,18:36:00,18:36:00,9,5,0,0,40.2500
41,18:43:00,18:43:00,71,6,0,0,46.3129
41,18:54:00,18:54:00,28,7,0,0,53.5366
41,19:24:00,19:24:00,1,8,0,0,67.6542
42,17:52:00,17:52:00,10,1,0,0,0.0000
42,18:01:00,18:01:00,2,2,0,0,5.8930
42,18:12:00,18:12:00,39,3,0,0,16.4197
42,18:23:00,18:23:00,55,4,0,0,27.2917
42,18:41:00,18:41:00,9,5,0,0,40.2500
42,18:48:00,18:48:00,71,6,0,0,46.3129
42,18:59:00,18:59:00,28,7,0,0,53.5366
42,19:30:00,19:30:00,1,8,0,0,67.6542
43,19:44:00,19:44:00,10,1,0,0,0.0000
43,19:53:00,19:53:00,2,2,0,0,5.8930
43,20:04:00,20:04:00,39,3,0,0,16.4197
43,20:15:00,20:15:00,55,4,0,0,27.2917
43,20:32:00,20:32:00,9,5,0,0,40.2500
43,20:43:00,20:43:00,71,6,0,0,46.3129
43,20:53:00,20:53:00,28,7,0,0,53.5366
43,21:24:00,21:24:00,1,8,0,0,67.6542
44,20:10:00,20:10:00,10,1,0,0,0.0000
44,20:19:00,20:19:00,2,2,0,0,5.8930
44,20:34:00,20:34:00,39,3,0,0,16.4197
44,20:45:00,20:45:00,55,4,0,0,27.2917
44,20:58:00,20:58:00,9,5,0,0,40.2500
44,21:05:00,21:05:00,71,6,0,0,46.3129
44,21:16:00,21:16:00,28,7,0,0,53.5366
44,21:46:00,21:46:00,1,8,0,0,67.6542
45,21:46:00,21:46:00,10,1,0,0,0.0000
45,21:55:00,21:55:00,2,2,0,0,5.8930
45,22:06:00,22:06:00,39,3,0,0,16.4197
45,22:17:00,22:17:00,55,4,0,0,27.2917
45,22:30:00,22:30:00,9,5,0,0,40.2500
45,22:37:00,22:37:00,71,6,0,0,46.3129
45,22:48:00,22:48:00,28,7,0,0,53.5366
45,23:18:00,23:18:00,1,8,0,0,67.6542
46,22:33:00,22:33:00,10,1,0,0,0.0000
46,22:42:00,22:42:00,2,2,0,0,5.8930
46,22:53:00,22:53:00,39,3,0,0,16.4197
46,23:04:00,23:04:00,55,4,0,0,27.2917
46,23:17:00,23:17:00,9,5,0,0,40.2500
46,23:29:00,23:29:00,71,6,0,0,46.3129
46,23:40:00,23:40:00,28,7,0,0,53.5366
46,24:10:00,24:10:00,1,8,0,0,67.6542
47,24:43:00,24:43:00,10,1,0,0,0.0000
47,24:52:00,24:52:00,2,2,0,0,5.8930
47,25:02:00,25:02:00,39,3,0,0,16.4197
47,25:13:00,25:13:00,55,4,0,0,27.2917
47,25:26:00,25:26:00,9,5,0,0,40.2500
47,25:34:00,25:34:00,71,6,0,0,46.3129
47,25:45:00,25:45:00,28,7,0,0,53.5366
47,26:19:00,26:19:00,1,8,0,0,67.6542
48,24:43:00,24:43:00,10,1,0,0,0.0000
48,24:52:00,24:52:00,2,2,0,0,5.8930
48,25:02:00,25:02:00,39,3,0,0,16.4197
48,25:13:00,25:13:00,55,4,0,0,27.2917
48,25:26:00,25:26:00,9,5,0,0,40.2500
48,25:34:00,25:34:00,71,6,0,0,46.3129
48,25:45:00,25:45:00,28,7,0,0,53.5366
48,26:19:00,26:19:00,1,8,0,0,67.6542
49,06:41:00,06:41:00,10,1,0,0,0.0000
49,06:50:00,06:50:00,2,2,0,0,5.8930
49,07:01:00,07:01:00,39,3,0,0,16.4197
49,07:12:00,07:12:00,55,4,0,0,27.2917
49,07:25:00,07:25:00,9,5,0,0,40.2500
49,07:33:00,07:33:00,71,6,0,0,46.3129
49,07:43:00,07:43:00,28,7,0,0,53.5366
49,08:13:00,08:13:00,1,8,0,0,67.6542
50,07:47:00,07:47:00,10,1,0,0,0.0000
50,07:56:00,07:56:00,2,2,0,0,5.8930
